number,a_name,rim_type,shoulder_type,handles_profile,handle_section,neck_type,body_type,base_type,capacity,height_min,height_max,width_min,width_max,rim_diameter_min,rim_diameter_max,manufacture
1,Africana 1 Piccolo,Everted,Rounded,Ring,Ovoid/Elliptical,Short/narrow,Cylindrical,Short hollow,35-40 litres,90,97,28,30,12,14,Tunisian fabric
3,Africana 2A Grande,Beaded,Carinated,Ear-shaped,Ovoid/Elliptical,Cylindrical,Cylindrical,Spike/tapered,60-65 litres,94,105,41,44,13,15,Tunisian fabric
4,Africana 2B Grande,,Carinated,Ear-shaped,Ridged,Cylindrical,Cylindrical,Knobbed,Unsure,109,110,41,43,12,13,Tunisian fabric
5,Africana 2C Grande,Rounded,Rounded,Ear-shaped,Ovoid/Elliptical,Conical,Cylindrical,Knobbed,55-60 litres,107,121,25,38,11,13,Tunisian fabric
6,Africana 2D Grande,Collar,Rounded,Ear-shaped,Ovoid/Elliptical,Conical,Cylindrical,Knobbed,45-50 litres,109,117,30,37,11,13,Tunisian fabric
7,Agora K109,Everted,Carinated,Ear-shaped,Grooved,Hourglass,Tapered,Short hollow,Unsure,0,0,0,0,0,0,
8,Agora M254,Triangular,Carinated,Bowed,Round,Cylindrical,Globular,Ringed,15-20 litres,54,55,33,35,9,9,Agora M254 fabric
9,Agora M273,Beaded,Rounded,Curved,Ovoid/Elliptical,Cylindrical,Piriform,Button,20-25 litres,0,0,37,38,11,13,Samos Cistern Type fabric
10,Agora M54,Beaded,Carinated,Peaked,Bifid,None,Cylindrical,Spike/tapered,Unsure,74,90,25,32,0,0,Agora M54 fabric
11,Almagro 50,Everted,Rounded,Curved,Ovoid/Elliptical,Short/narrow,Cylindrical,Short hollow,Unsure,76,88,22,22,14,14,Almagro 50 fabric
13,Almagro 51A & B,Collar,Rounded,Ear-shaped,Ridged,Conical,Tapered,Spike/tapered,0-10 litres,60,94,22,33,9,11,Almagro 51 fabric
15,Almagro 51C,Triangular,Rounded,Curved,Ridged,Hourglass,Tapered,Spike/tapered,25-30 litres,70,77,24,37,8,12,
16,Almagro 54,Beaded,Rounded,Ring,Ridged,None,Cylindrical,Rounded,20-25 litres,40,83,25,27,10,11,Almagro 54 fabric
18,Amphorae Saumure d'Espagne,Collar,Carinated,Curved,Ovoid/Elliptical,Broad/wide,Tapered,Spike/tapered,Unsure,0,0,0,0,0,0,
20,Castrum Perti,Rounded,Rounded,Curved,Ovoid/Elliptical,Hourglass,Globular,Flat,20-25 litres,50,55,0,0,0,0,Castrum Perti fabric
22,Aquincum 78,Collar,Rounded,Short vertical,Round,Conical,Cylindrical,Spike/tapered,Unsure,0,77,0,0,0,10,Aquincum fabric
25,Augst 17,Beaded,Rounded,Curved,Bifid,Hourglass,Piriform,Flat,Unsure,0,0,0,0,0,0,Augst 17 fabric
29,Augst 33,Triangular,None/smooth,Arched,Grooved,Cylindrical,Ovoid,Flat,40-45 litres,0,0,0,0,0,0,Augst 33 fabric
30,Augst 34,Everted,Rounded,Arched,Grooved,Cylindrical,Ovoid,Flat,40-45 litres,0,0,0,0,0,0,
31,Augst 35,Collar,Rounded,Long vertical,Ridged,Cylindrical,Cylindrical,Spike/tapered,Unsure,0,0,0,0,0,0,Augst 35 fabric
33,Augst 46,Beaded,Rounded,Bowed,Round,Broad/wide,Tapered,Rounded basal point,Unsure,0,0,0,0,0,0,
34,Augst 47,Rounded,Rounded,Short vertical,Round,Cylindrical,Tapered,Pointed,Unsure,0,0,0,0,0,0,
35,Ayla-Axum,Rounded,Rounded,Bowed,Ovoid/Elliptical,Broad/wide,Tapered,Button,0-10 litres,75,100,0,0,0,0,Ayla-Axum fabric
36,Bailey Type A,Rounded,Carinated,Ear-shaped,Round,Cylindrical,Tapered,Pointed,Unsure,0,0,0,0,0,0,LRA 7 fabric
37,Beirut 1,Triangular,Rounded,Curved,Ridged,Hourglass,Tapered,Pointed,Unsure,0,0,0,0,0,0,Beirut City fabric
38,Beirut 3,Triangular,Rounded,Arched,Ridged,Hourglass,Tapered,Button,Unsure,0,0,0,0,8,12,Beirut City fabric
39,Beirut 8,Rounded,Rounded,Arched,,Cylindrical,Tapered,Flat,Unsure,0,0,0,0,6,9,
42,Beltrรกn 72,Triangular,None/smooth,Curved,Grooved,Broad/wide,Piriform,Short hollow,Unsure,76,88,22,22,14,14,
43,Beltrรกn 2A,Triangular,None/smooth,Long vertical,Ovoid/Elliptical,Broad/wide,Piriform,Long hollow,Unsure,80,110,25,40,20,25,Cรกdiz fabric
44,Beltrรกn 2B,Triangular,None/smooth,Long vertical,Ovoid/Elliptical,Hourglass,Piriform,Spike/tapered,Unsure,90,105,40,45,18,25,Cรกdiz fabric
47,Dressel 8,Flaring,Rounded,Long vertical,Ovoid/Elliptical,Cylindrical,Globular,Spike/tapered,Unsure,80,90,35,40,18,22,Cรกdiz fabric
50,Bรณnis 31/5,Collar,None/smooth,Short vertical,Round,Hourglass,Piriform,Pointed,Unsure,32,40,12,18,6,9,Bรณnis 31/5 fabric
51,Brindisian amphora,Beaded,Rounded,Short vertical,Round,Cylindrical,Ovoid,Knobbed,Unsure,0,0,0,0,0,0,Brindisi amphora fabric
52,Campanian almond-rim type,Beaded,Rounded,Long vertical,Ovoid/Elliptical,Cylindrical,Cylindrical,Spike/tapered,Unsure,0,0,0,0,0,0,Campanian 'Black Sand' fabric
53,Camulodunum 139,Beaded,Rounded,Long vertical,Round,Cylindrical,Ovoid,Flat,20-25 litres,0,0,0,0,9,11,Campanian 'Black Sand' fabric
54,Camulodunum 176,Triangular,None/smooth,Short vertical,Ovoid/Elliptical,Broad/wide,Ovoid,Ringed,Unsure,0,0,0,0,0,0,Camulodunum 176 fabric
56,Carrot amphora,Rounded,None/smooth,Ring,Round,Broad/wide,Tapered,Pointed,Unsure,0,0,0,0,0,0,Carrot amphora fabric
58,Chalk 6,Triangular,Rounded,Long vertical,Ovoid/Elliptical,Cylindrical,Tapered,Spike/tapered,Unsure,0,0,0,0,0,0,Chalk 6 fabric
59,Peacock & Williams 66,Collar,Rounded,Ring,Grooved,None,Cylindrical,Spike/tapered,Unsure,0,0,20,21,11,12,Peacock & Williams 66 fabric
60,Crétoise 1,Collar,Rounded,Bowed,Round,Short/narrow,Cylindrical,Rounded basal point,Unsure,0,0,0,0,0,0,Crétoise 1 fabric
61,Crétoise 2,Collar,Rounded,Arched,Bifid,Hourglass,Piriform,Rounded basal point,Unsure,0,0,0,0,0,0,Crétoise 2 fabric
65,Dressel 10,Everted,Rounded,Long vertical,Ridged,Cylindrical,Ovoid,Long hollow,Unsure,75,85,29,40,18,22,Cรกdiz fabric
66,Dressel 11,Flaring,Rounded,Long vertical,Ovoid/Elliptical,Hourglass,Piriform,Long hollow,Unsure,75,90,0,0,18,22,Cรกdiz fabric
67,Dressel 12,Everted,Rounded,Long vertical,Ovoid/Elliptical,Hourglass,Ovoid,Spike/tapered,Unsure,103,105,25,30,16,18,Dressel 12 fabric
68,Dressel 14,Beaded,Rounded,Long vertical,Ovoid/Elliptical,Broad/wide,Cylindrical,Long hollow,30-35 litres,90,110,27,33,16,22,Dressel 14 fabric
69,Porto Recanati,Everted,Rounded,Curved,Ovoid/Elliptical,Hourglass,Ovoid,Knobbed,Unsure,87,90,32,38,12,16,Porto Recanati fabric
72,Ramรณn 25,Rounded,Rounded,Short vertical,Ovoid/Elliptical,Cylindrical,Ovoid,Spike/tapered,Unsure,96,97,35,38,14,16,Ramรณn 25 fabric
74,Rhodian Type,Rounded,Rounded,Peaked,Round,Cylindrical,Tapered,Spike/tapered,20-25 litres,96,97,23,24,14,15,
76,Dressel 16,Rounded,Carinated,Peaked,Grooved,Hourglass,Cylindrical,Long hollow,Unsure,0,0,18,20,0,0,Dressel 16 fabric
77,Dressel 17,Flaring,Rounded,Peaked,Ovoid/Elliptical,Cylindrical,Tapered,Knobbed,Unsure,124,126,24,29,18,22,
80,Dressel 1B similis - Lyon,Collar,Carinated,Long vertical,Ridged,Cylindrical,Cylindrical,Spike/tapered,Unsure,0,0,22,24,0,0,Lyon fabric
83,Dressel 20,Rounded,None/smooth,Curved,Round,Short/narrow,Globular,Rounded basal point,70-75 litres,70,97,56,66,18,20,Dressel 20 fabric
86,Dressel 21-22,Beaded,Rounded,Curved,Ovoid/Elliptical,Broad/wide,Cylindrical,Short hollow,Unsure,88,90,24,26,18,20,Dressel 21-22 fabric
87,Dressel 23,Triangular,None/smooth,Ring,Ovoid/Elliptical,Broad/wide,Globular,Rounded basal point,Unsure,53,56,24,36,10,14,Dressel 20 fabric
88,Dressel 24,Rounded,Carinated,Bowed,Ovoid/Elliptical,Hourglass,Globular,Pointed,Unsure,0,0,0,0,0,0,Dressel 24 fabric
90,Dressel 2-4 Loire Basin,Beaded,Carinated,Long vertical,Bifid,Cylindrical,Cylindrical,Spike/tapered,Unsure,84,98,28,31,11,15,Dressel 2-4 Loire Basin fabric
91,Dressel 2-4 Almadrava,Collar,Carinated,Long vertical,Bifid,Cylindrical,Cylindrical,Spike/tapered,Unsure,94,95,27,29,14,16,Almadrava fabric
92,Dressel 2-4 Baetican,Beaded,Carinated,Long vertical,Bifid,Cylindrical,Cylindrical,Spike/tapered,30-35 litres,0,0,0,0,0,0,Dressel 20 fabric
94,Dressel 2-4 Catalan,Beaded,Carinated,Long vertical,Bifid,Cylindrical,Cylindrical,Spike/tapered,30-35 litres,85,98,24,30,13,14,Pascual 1 red fabric
95,Dressel 2-4 Cos,Beaded,Carinated,Long vertical,Bifid,Cylindrical,Cylindrical,Pointed,25-30 litres,0,0,0,0,0,0,
96,Dressel 2-4 Egyptian,Beaded,Carinated,Long vertical,Bifid,Hourglass,Cylindrical,Button,20-25 litres,120,138,26,27,13,14,Lake Mariout fabric
101,Dressel 2-4 Lyon 2,Beaded,Carinated,Long vertical,Bifid,Cylindrical,Cylindrical,Spike/tapered,Unsure,86,91,28,31,12,13,Lyon fabric
102,Dressel 2-4 Italian,Beaded,Carinated,Long vertical,Bifid,Hourglass,Cylindrical,Spike/tapered,20-25 litres,95,108,26,29,14,16,Campanian 'Black Sand' fabric
104,Dressel 25,Beaded,Rounded,Ear-shaped,Round,Cylindrical,Globular,Rounded basal point,65-70 litres,74,75,41,47,12,15,Dressel 25 fabric
106,Dressel 28,Pulley wheel,Rounded,Curved,Grooved,Cylindrical,Tapered,Flat,Unsure,0,0,0,0,0,0,Dressel 28 fabric
107,Dressel 28 similis - Lyon,Pulley wheel,Rounded,Arched,Grooved,Conical,Globular,Ringed,Unsure,44,45,30,31,14,15,Lyon fabric
108,Dressel 30 - Keay 1A,Collar,Rounded,Curved,Grooved,Hourglass,Tapered,Flared,20-25 litres,65,66,36,37,11,12,Dressel 30 fabric
110,Dressel 35,Rounded,Rounded,Peaked,Round,Cylindrical,Ovoid,Pointed,Unsure,49,50,28,29,12,13,
111,Dressel 43,Collar,Rounded,Peaked,Round,Cylindrical,Cylindrical,Rounded basal point,10-15 litres,50,67,15,25,6,9,Dressel 43 fabric
112,Dressel 5,Rounded,Carinated,Peaked,Bifid,Cylindrical,Cylindrical,Spike/tapered,Unsure,101,107,26,31,12,13,
