settlement ,latitude,longitude 
Cortijo del Romero,-5.25E+000,3.77E+001
Álamo Alto,-5.51E+000,3.76E+001
La Catria,-5.51E+000,3.76E+001
Berro II,-5.43E+000,3.77E+001
La Graja,-5.22E+000,3.77E+001
El Pinzón,-5.28E+000,3.77E+001
Cruz Verde,-5.91E+000,3.75E+001
Manuel Nieto,-5.48E+000,3.77E+001
Doña Mencía,-5.17E+000,3.76E+001
Madueño,-5.27E+000,3.77E+001
El Tejarillo,-5.64E+000,3.76E+001
Hacienda del Corzo,-5.75E+000,3.75E+001
Isla de la Jurada,-5.24E+000,3.77E+001
Adelfa,-5.66E+000,3.76E+001
La Botica,-5.37E+000,3.77E+001
Los Mochales,-5.50E+000,3.76E+001
La Reina,-4.91E+000,3.78E+001
El Judío,-5.55E+000,3.76E+001
Las Ánimas,-5.15E+000,3.76E+001
El Tesoro,-5.37E+000,3.77E+001
Guadiato,-5.05E+000,3.78E+001
Alcala del Río,-5.67E+000,3.76E+001
Isla Grande,-5.17E+000,3.76E+001
Almodóvar del Río,-5.02E+000,3.78E+001
Tarancón,-5.20E+000,3.76E+001
Villar de Brenes,-5.90E+000,3.75E+001
Isla del Castillo,-5.13E+000,3.76E+001
Cortijo de Paladés (Este) (Cortijo de Sotomayor),-5.69E+000,3.76E+001
Casa del Guarda o Llano,-5.17E+000,3.78E+001
La Mallena,-5.47E+000,3.77E+001
Castillo de Azanaque,-5.57E+000,3.76E+001
Haza del Olivo,-5.49E+000,3.77E+001
Los Guerras,-5.49E+000,3.77E+001
Malpica Sur,-5.21E+000,3.77E+001
huerta del río,-5.51E+000,3.77E+001
Peña de la Sal,-5.61E+000,3.76E+001
Las Valbuenas,-5.18E+000,3.77E+001
El Mohino,-5.25E+000,3.77E+001
Azanaque-Catsillejo,-5.56E+000,3.76E+001
Cerro de los Vuelos,-5.22E+000,3.78E+001
Villaseca,-5.03E+000,3.78E+001
Madre Vieja II,-5.41E+000,3.76E+001
Barranco del Picacho,-5.13E+000,3.78E+001
La Umbría de Moratalla,-5.19E+000,3.78E+001
Mejía,-5.62E+000,3.76E+001
Cerro de los Pesebres,-5.21E+000,3.78E+001
Casa del Encinarejo Bajo,-5.18E+000,3.78E+001
Dehesilla,-5.11E+000,3.78E+001
Lora la Vieja,-5.46E+000,3.76E+001
Castillo de Almodóvar,-5.02E+000,3.78E+001
La Rambla y El Acebuchal,-5.38E+000,3.77E+001
Cortijo Soto del Rey,-5.13E+000,3.78E+001
El Temple,-4.97E+000,3.78E+001
Cerro de Arriza,-5.14E+000,3.76E+001
Cortijo de San José (Norte),-5.69E+000,3.76E+001
Alcotrista,-5.12E+000,3.76E+001
El Rodriguillo,-5.00E+000,3.78E+001
Villacisneros,-5.20E+000,3.78E+001
Los Villares,-5.79E+000,3.76E+001
Casablanca Oeste,-5.14E+000,3.78E+001
Alcolea del Río,-5.67E+000,3.76E+001
Juan Barba,-5.65E+000,3.76E+001
La María,-5.45E+000,3.77E+001
Villar Tesoro,-5.63E+000,3.76E+001
Las Delicias,-5.09E+000,3.76E+001
El Marchante,-5.45E+000,3.76E+001
Cerro León,-5.59E+000,3.76E+001
Azanaque-Castillejo,-5.56E+000,3.76E+001
El Sotillo,-4.96E+000,3.78E+001
Casa de Mingaobez (Este),-5.08E+000,3.78E+001
Arva,-5.60E+000,3.76E+001
Las Monjas,-5.26E+000,3.77E+001
Huerta de Belén,-5.29E+000,3.77E+001
Itálica,-6.04E+000,3.74E+001
La Ramblilla,-5.42E+000,3.77E+001
Peñaflor,-5.35E+000,3.77E+001
La Estacada,-5.54E+000,3.77E+001
La Catria Alta,-5.50E+000,3.76E+001
El Portillo,-5.29E+000,3.77E+001
La Corregidora,-5.16E+000,3.78E+001
Las Sesenta,-5.41E+000,3.77E+001
Tierras del Judío,-5.22E+000,3.77E+001
Dehesa de Arriba,-5.08E+000,3.78E+001
Cortijo Nuevo,-4.98E+000,3.78E+001
Tostoneras,-5.61E+000,3.76E+001
La Estrella,-5.11E+000,3.78E+001
Casa de Mingaobez,-5.07E+000,3.78E+001
Guadajoz,-5.67E+000,3.76E+001
La Coscoja,-5.41E+000,3.77E+001
Malpica,-5.21E+000,3.77E+001
Sevilla,-5.98E+000,3.74E+001
